,Date,Home Team,Away Team,Home 1,Away 1,Home 2,Away 2,Home 3,Away 3,Home 4,Away 4,Home OT,Away OT,Home 2OT,Away 2OT,Home 3OT,Away 3OT,Home T,Away T
84,20210103,Dallas,Chicago,31,31,29,28,21,27,27,32,0,0,0,0,0,0,108,118
85,20210103,Boston,Detroit,31,33,30,24,30,31,31,32,0,0,0,0,0,0,122,120
86,20210103,Portland,Golden State,33,36,21,30,29,31,39,40,0,0,0,0,0,0,122,137
87,20210103,LA Lakers,Memphis,25,36,31,18,21,21,31,19,0,0,0,0,0,0,108,94
88,20210103,Denver,Minnesota,29,28,26,20,28,36,41,25,0,0,0,0,0,0,124,109
89,20210103,LA Clippers,Phoenix,37,24,27,20,24,37,24,26,0,0,0,0,0,0,112,107
90,20210103,Utah,San Antonio,33,23,32,28,33,25,32,33,0,0,0,0,0,0,130,109
91,20210104,New York,Atlanta,31,29,23,29,30,30,29,20,0,0,0,0,0,0,113,108
92,20210104,Sacramento,Golden State,20,37,28,31,27,32,31,37,0,0,0,0,0,0,106,137
93,20210104,Dallas,Houston,33,21,28,28,23,28,29,23,0,0,0,0,0,0,113,100
94,20210104,Oklahoma City,Miami,26,26,23,37,17,28,24,27,0,0,0,0,0,0,90,118
95,20210104,Detroit,Milwaukee,26,33,30,34,24,30,35,28,0,0,0,0,0,0,115,125
96,20210104,Indiana,New Orleans,26,24,27,27,26,26,27,29,12,10,0,0,0,0,118,116
97,20210104,Cleveland,Orlando,19,26,30,25,18,38,16,14,0,0,0,0,0,0,83,103
98,20210104,Charlotte,Philadelphia,20,23,23,35,23,24,35,36,0,0,0,0,0,0,101,118
99,20210104,Boston,Toronto,23,32,38,14,39,35,26,33,0,0,0,0,0,0,126,114
100,20210105,Utah,Brooklyn,14,35,30,28,29,35,23,32,0,0,0,0,0,0,96,130
101,20210105,Minnesota,Denver,22,34,43,28,31,31,20,30,0,0,0,0,0,0,116,123
