,Date,Team,1,2,3,4,T
250,20210108,Chicago,33,25,30,27,115
251,20210108,LA Lakers,28,31,33,25,117
252,20210108,Brooklyn,28,19,39,24,110
253,20210108,Memphis,40,22,30,23,115
254,20210108,Utah,34,31,39,27,131
255,20210108,Milwaukee,31,27,38,22,118
256,20210108,Charlotte,22,25,35,36,118
257,20210108,New Orleans,38,21,28,23,110
258,20210108,Oklahoma City,15,27,27,32,101
259,20210108,New York,24,18,21,26,89
260,20210108,Toronto,35,36,40,33,144
261,20210108,Sacramento,43,31,29,20,123
262,20210109,Atlanta,29,21,26,29,105
263,20210109,Charlotte,28,31,28,26,113
264,20210109,Orlando,27,23,25,23,98
265,20210109,Dallas,36,20,29,27,112
266,20210109,Phoenix,30,26,34,35,125
267,20210109,Indiana,32,21,34,30,117
268,20210109,Cleveland,14,23,26,27,90
269,20210109,Milwaukee,27,20,31,22,100
270,20210109,San Antonio,28,32,23,30,113
271,20210109,Minnesota,34,24,27,28,113
272,20210109,Denver,28,30,35,22,115
273,20210109,Philadelphia,26,25,21,31,103
274,20210109,Portland,38,28,27,32,125
275,20210109,Sacramento,24,25,20,30,99
276,20210109,Miami,47,28,28,25,128
277,20210109,Washington,44,27,15,38,124
278,20210110,Oklahoma City,29,28,37,35,129
279,20210110,Brooklyn,41,22,18,35,116
280,20210110,Utah,34,23,17,22,96
281,20210110,Detroit,19,21,28,18,86
282,20210110,Toronto,24,27,21,33,105
283,20210110,Golden State,31,30,26,19,106
284,20210110,LA Lakers,25,40,23,32,120
285,20210110,Houston,21,25,29,27,102
286,20210110,Chicago,31,28,35,33,127
287,20210110,LA Clippers,22,30,42,36,130
288,20210110,San Antonio,22,27,20,19,88
289,20210110,Minnesota,25,19,22,30,96
290,20210110,Denver,28,31,23,32,114
291,20210110,New York,21,17,26,25,89
292,20210111,Philadelphia,32,18,15,29,94
293,20210111,Atlanta,28,37,32,15,112
294,20210111,New York,25,25,18,20,88
295,20210111,Charlotte,31,26,25,27,109
296,20210111,Memphis,24,23,30,24,101
297,20210111,Cleveland,27,19,25,20,91
298,20210111,Milwaukee,25,38,23,35,121
299,20210111,Orlando,23,31,28,17,99
300,20210111,Toronto,32,28,26,25,111
301,20210111,Portland,21,34,21,36,112
302,20210111,Indiana,30,34,29,29,122
303,20210111,Sacramento,30,35,32,30,127
304,20210111,Phoenix,15,27,36,29,107
305,20210111,Washington,29,39,36,24,128
306,20210112,Denver,35,35,20,26,116
307,20210112,Brooklyn,27,27,36,32,122
308,20210112,Utah,22,27,38,30,117
309,20210112,Cleveland,18,18,23,28,87
310,20210112,Indiana,19,31,23,31,104
311,20210112,Golden State,28,29,18,20,95
312,20210112,LA Lakers,35,36,26,20,117
313,20210112,Houston,14,34,23,29,100
314,20210112,San Antonio,26,25,29,32,112
315,20210112,Oklahoma City,26,17,30,29,102
316,20210112,Miami,25,38,32,25,120
317,20210112,Philadelphia,28,27,41,24,120
318,20210113,Dallas,32,28,27,17,104
319,20210113,Charlotte,16,27,29,21,93
320,20210113,Milwaukee,27,31,31,21,110
321,20210113,Detroit,13,34,28,26,101
322,20210113,New Orleans,28,15,28,35,106
323,20210113,LA Clippers,28,33,22,28,111
324,20210113,Memphis,27,29,24,38,118
325,20210113,Minnesota,29,29,32,17,107
326,20210113,Brooklyn,26,35,31,24,116
327,20210113,New York,25,20,31,33,109
328,20210113,LA Lakers,30,28,35,35,128
329,20210113,Oklahoma City,21,25,25,28,99
330,20210113,Portland,33,32,35,32,132
331,20210113,Sacramento,43,25,37,21,126
332,20210114,Golden State,24,30,22,28,104
333,20210114,Denver,37,28,25,24,114
334,20210114,Miami,30,28,20,30,108
335,20210114,Philadelphia,38,35,25,27,125
336,20210114,Indiana,26,33,25,27,111
337,20210114,Portland,26,10,35,16,87
338,20210114,Houston,30,18,27,34,109
339,20210114,San Antonio,27,18,34,26,105
340,20210114,Charlotte,34,28,24,22,108
341,20210114,Toronto,35,36,28,12,111
342,20210115,Orlando,28,20,24,25,97
343,20210115,Boston,34,26,28,36,124
344,20210115,New York,25,30,25,23,103
345,20210115,Cleveland,28,29,23,26,106
346,20210115,New Orleans,28,30,16,21,95
347,20210115,LA Lakers,20,37,27,28,112
348,20210115,Dallas,23,24,34,28,109
349,20210115,Milwaukee,30,25,29,28,112
350,20210115,Chicago,30,38,27,23,118
351,20210115,Oklahoma City,22,28,37,31,118
352,20210115,LA Clippers,34,35,37,32,138
353,20210115,Sacramento,31,30,16,23,100
354,20210115,Atlanta,23,23,28,18,92
355,20210115,Utah,33,28,26,29,116
356,20210116,Orlando,26,24,33,32,115
357,20210116,Brooklyn,29,23,32,38,122
358,20210116,Philadelphia,26,28,22,28,104
359,20210116,Memphis,25,35,28,18,106
360,20210116,Detroit,29,23,38,30,120
361,20210116,Miami,23,33,19,25,100
362,20210116,Atlanta,38,28,20,20,106
363,20210116,Portland,34,25,27,26,112
364,20210116,Houston,30,23,19,19,91
365,20210116,San Antonio,21,29,25,28,103
366,20210116,Charlotte,27,37,23,26,113
367,20210116,Toronto,31,35,22,28,116
368,20210117,New York,28,20,27,30,105
369,20210117,Boston,17,18,15,25,75
370,20210117,Chicago,27,40,22,28,117
371,20210117,Dallas,23,29,23,26,101
372,20210117,Utah,32,21,28,28,109
373,20210117,Denver,31,27,21,26,105
374,20210117,Indiana,26,29,20,21,96
375,20210117,LA Clippers,36,25,39,29,129
376,20210117,New Orleans,34,33,30,31,128
377,20210117,Sacramento,25,33,36,29,123
378,20210118,Minnesota,25,26,20,26,97
379,20210118,Atlanta,29,29,20,30,108
380,20210118,Milwaukee,34,22,33,34,123
381,20210118,Brooklyn,28,29,37,31,125
382,20210118,Houston,16,36,34,34,120
383,20210118,Chicago,28,36,29,32,125
384,20210118,Golden State,22,26,33,34,115
385,20210118,LA Lakers,34,30,28,21,113
386,20210118,Phoenix,24,24,27,29,104
387,20210118,Memphis,18,34,25,31,108
