,Player,Prop,Over,Over Odds,Under,Under Odds
129,Duncan Robinson,Pts + Reb + Ast,17.5,-106,17.5,-120
130,Andre Drummond,Pts + Reb + Ast,26.5,-104,26.5,-122
131,Duncan Robinson,Reb + Ast,5.5,112,5.5,-142
132,Andre Drummond,Reb + Ast,12.5,-122,12.5,-104
133,Collin Sexton,Points,24.5,-110,24.5,-110
134,Darius Garland,Points,18.5,-108,18.5,-114
135,Isaac Okoro,Points,8.5,-116,8.5,-104
136,Theo Maledon,Points,14.5,-116,14.5,-106
137,Aleksej Pokusevski,Points,12.5,-126,12.5,102
138,Svi Mykhailiuk,Points,12.5,-104,12.5,-118
139,Kevin Love,Points,13.5,-110,13.5,-110
140,Dean Wade,Points,9.5,-120,9.5,-102
141,Theo Maledon,Rebounds,4.5,110,4.5,-134
142,Aleksej Pokusevski,Rebounds,5.5,-130,5.5,106
143,Darius Garland,Rebounds,2.5,-148,2.5,120
144,Collin Sexton,Rebounds,3.5,106,3.5,-130
145,Kevin Love,Rebounds,8.5,102,8.5,-124
146,Isaac Okoro,Rebounds,3.5,106,3.5,-130
147,Dean Wade,Rebounds,6.5,-104,6.5,-118
148,Aleksej Pokusevski,Assists,2.5,-160,2.5,130
149,Theo Maledon,Assists,4.5,122,4.5,-150
150,Collin Sexton,Assists,3.5,-115,3.5,-105
151,Darius Garland,Assists,5.5,-130,5.5,106
152,Kevin Love,Assists,2.5,104,2.5,-128
153,Collin Sexton,Made Threes,1.5,126,1.5,-162
154,Darius Garland,Made Threes,1.5,-146,1.5,114
155,Aleksej Pokusevski,Made Threes,2.5,128,2.5,-166
156,Svi Mykhailiuk,Made Threes,2.5,122,2.5,-156
157,Theo Maledon,Made Threes,2.5,124,2.5,-160
158,Kevin Love,Made Threes,1.5,-205,1.5,158
159,Dean Wade,Made Threes,1.5,-120,1.5,-106
160,Darius Garland,Reb + Ast,8.5,-130,8.5,102
161,Theo Maledon,Reb + Ast,8.5,-108,8.5,-118
162,Collin Sexton,Reb + Ast,7.5,112,7.5,-142
163,Aleksej Pokusevski,Reb + Ast,8.5,-132,8.5,104
164,Kevin Love,Reb + Ast,10.5,-125,10.5,-102
165,Isaac Okoro,Reb + Ast,4.5,-125,4.5,-102
166,Collin Sexton,Pts + Ast,28.5,-111,28.5,-115
167,Darius Garland,Pts + Ast,24.5,-108,24.5,-118
168,Theo Maledon,Pts + Ast,18.5,-128,18.5,100
169,Aleksej Pokusevski,Pts + Ast,16.5,-102,16.5,-125
170,Kevin Love,Pts + Ast,16.5,100,16.5,-128
171,Isaac Okoro,Pts + Ast,10.5,102,10.5,-130
172,Collin Sexton,Pts + Reb,28.5,-102,28.5,-125
173,Darius Garland,Pts + Reb,21.5,-113,21.5,-113
174,Theo Maledon,Pts + Reb,19.5,-102,19.5,-125
175,Aleksej Pokusevski,Pts + Reb,19.5,-102,19.5,-125
176,Kevin Love,Pts + Reb,22.5,100,22.5,-128
177,Isaac Okoro,Pts + Reb,12.5,-106,12.5,-120
178,Collin Sexton,Pts + Reb + Ast,31.5,-120,31.5,-106
179,Darius Garland,Pts + Reb + Ast,27.5,-111,27.5,-115
180,Theo Maledon,Pts + Reb + Ast,23.5,-113,23.5,-113
181,Aleksej Pokusevski,Pts + Reb + Ast,22.5,-106,22.5,-120
182,Kevin Love,Pts + Reb + Ast,24.5,-106,24.5,-120
183,Isaac Okoro,Pts + Reb + Ast,13.5,-118,13.5,-108
184,Dean Wade,Pts + Ast,11.5,-125,11.5,-102
185,Dean Wade,Pts + Reb,16.5,-111,16.5,-115
186,Dean Wade,Pts + Reb + Ast,18.5,-113,18.5,-113
187,Dean Wade,Reb + Ast,8.5,-108,8.5,-120
188,Jrue Holiday,Points,22.5,-118,22.5,-104
189,Khris Middleton,Points,22.5,-104,22.5,-118
190,Brook Lopez,Points,13.5,-104,13.5,-118
191,Donte DiVincenzo,Points,11.5,-116,11.5,-106
192,Luka Doncic,Points,30.5,-108,30.5,-114
193,Josh Richardson,Points,11.5,-120,11.5,-102
194,Dorian Finney-Smith,Points,9.5,-104,9.5,-118
195,Kristaps Porzingis,Points,20.5,-104,20.5,-118
196,Brook Lopez,Rebounds,5.5,-104,5.5,-118
197,Donte DiVincenzo,Rebounds,5.5,-142,5.5,116
198,Khris Middleton,Rebounds,6.5,-106,6.5,-114
199,Jrue Holiday,Rebounds,5.5,100,5.5,-122
200,Luka Doncic,Rebounds,7.5,-140,7.5,114
201,Dorian Finney-Smith,Rebounds,5.5,-112,5.5,-108
202,Josh Richardson,Rebounds,3.5,-108,3.5,-112
203,Kristaps Porzingis,Rebounds,8.5,-122,8.5,100
204,Jrue Holiday,Assists,6.5,100,6.5,-122
205,Khris Middleton,Assists,5.5,120,5.5,-148
206,Donte DiVincenzo,Assists,3.5,-114,3.5,-105
207,Luka Doncic,Assists,7.5,-134,7.5,110
208,Josh Richardson,Assists,2.5,-122,2.5,100
209,Khris Middleton,Made Threes,1.5,-186,1.5,144
210,Jrue Holiday,Made Threes,1.5,-200,1.5,154
211,Brook Lopez,Made Threes,1.5,124,1.5,-158
212,Donte DiVincenzo,Made Threes,1.5,-158,1.5,124
213,Luka Doncic,Made Threes,3.5,-130,3.5,102
214,Josh Richardson,Made Threes,1.5,-128,1.5,100
215,Dorian Finney-Smith,Made Threes,1.5,-164,1.5,128
216,Kristaps Porzingis,Made Threes,2.5,142,2.5,-184
217,Brook Lopez,Reb + Ast,6.5,-104,6.5,-122
218,Khris Middleton,Reb + Ast,11.5,-120,11.5,-106
219,Donte DiVincenzo,Reb + Ast,9.5,-122,9.5,-104
220,Jrue Holiday,Reb + Ast,11.5,-130,11.5,100
221,Luka Doncic,Reb + Ast,16.5,100,16.5,-128
222,Josh Richardson,Reb + Ast,6.5,100,6.5,-128
223,Jrue Holiday,Pts + Ast,29.5,-113,29.5,-113
224,Khris Middleton,Pts + Ast,27.5,-113,27.5,-113
225,Brook Lopez,Pts + Ast,14.5,-104,14.5,-122
226,Donte DiVincenzo,Pts + Ast,15.5,-113,15.5,-113
227,Luka Doncic,Pts + Ast,38.5,-113,38.5,-113
228,Josh Richardson,Pts + Ast,14.5,-120,14.5,-106
229,Jrue Holiday,Pts + Reb,28.5,-111,28.5,-115
230,Khris Middleton,Pts + Reb,28.5,-122,28.5,-104
231,Brook Lopez,Pts + Reb,18.5,-125,18.5,-102
232,Donte DiVincenzo,Pts + Reb,17.5,-128,17.5,100
233,Luka Doncic,Pts + Reb,38.5,-115,38.5,-111
234,Josh Richardson,Pts + Reb,15.5,-115,15.5,-111
235,Jrue Holiday,Pts + Reb + Ast,34.5,-125,34.5,-102
236,Khris Middleton,Pts + Reb + Ast,34.5,-108,34.5,-118
237,Brook Lopez,Pts + Reb + Ast,19.5,-125,19.5,-102
238,Donte DiVincenzo,Pts + Reb + Ast,21.5,-115,21.5,-111
239,Luka Doncic,Pts + Reb + Ast,46.5,-118,46.5,-108
240,Josh Richardson,Pts + Reb + Ast,18.5,-113,18.5,-113
241,Dorian Finney-Smith,Pts + Ast,11.5,-102,11.5,-125
242,Kristaps Porzingis,Pts + Ast,21.5,-122,21.5,-104
243,Dorian Finney-Smith,Pts + Reb,15.5,-102,15.5,-125
244,Kristaps Porzingis,Pts + Reb,29.5,-108,29.5,-118
